path,label
dataset\3\C3_1767.jpg,3
dataset\0\C0_1734.jpg,0
dataset\3\C3_1532.jpg,3
dataset\2\C2_2311.jpg,2
dataset\1\C1_3073.jpg,1
dataset\3\C3_150.jpg,3
dataset\0\C0_1608.jpg,0
dataset\1\C1_1797.jpg,1
dataset\2\C2_688.jpg,2
dataset\0\C0_1326.jpg,0
dataset\0\C0_167.jpg,0
dataset\0\C0_254.jpg,0
dataset\3\C3_1411.jpg,3
dataset\1\C1_2245.jpg,1
dataset\0\C0_2302.jpg,0
dataset\3\C3_928.jpg,3
dataset\3\C3_520.jpg,3
dataset\2\C2_1096.jpg,2
dataset\2\C2_580.jpg,2
dataset\1\C1_2850.jpg,1
dataset\0\C0_1277.jpg,0
dataset\0\C0_1509.jpg,0
dataset\0\C0_169.jpg,0
dataset\2\C2_2323.jpg,2
dataset\1\C1_2836.jpg,1
dataset\3\C3_1385.jpg,3
dataset\0\C0_1503.jpg,0
dataset\0\C0_2246.jpg,0
dataset\1\C1_497.jpg,1
dataset\1\C1_897.jpg,1
dataset\2\C2_2447.jpg,2
dataset\1\C1_1226.jpg,1
dataset\2\C2_725.jpg,2
dataset\2\C2_2438.jpg,2
dataset\3\C3_2314.jpg,3
dataset\2\C2_2333.jpg,2
dataset\2\C2_2209.jpg,2
dataset\1\C1_1634.jpg,1
dataset\1\C1_2758.jpg,1
dataset\3\C3_2107.jpg,3
dataset\2\C2_286.jpg,2
dataset\0\C0_1303.jpg,0
dataset\1\C1_1433.jpg,1
dataset\1\C1_578.jpg,1
dataset\2\C2_451.jpg,2
dataset\2\C2_2695.jpg,2
dataset\0\C0_635.jpg,0
dataset\0\C0_2377.jpg,0
dataset\3\C3_1603.jpg,3
dataset\1\C1_482.jpg,1
dataset\3\C3_237.jpg,3
dataset\0\C0_874.jpg,0
dataset\3\C3_2448.jpg,3
dataset\3\C3_235.jpg,3
dataset\3\C3_639.jpg,3
dataset\2\C2_1453.jpg,2
dataset\0\C0_2490.jpg,0
dataset\0\C0_1596.jpg,0
dataset\2\C2_70.jpg,2
dataset\0\C0_2662.jpg,0
dataset\1\C1_2441.jpg,1
dataset\0\C0_847.jpg,0
dataset\1\C1_2003.jpg,1
dataset\0\C0_897.jpg,0
dataset\0\C0_560.jpg,0
dataset\2\C2_2439.jpg,2
dataset\3\C3_1880.jpg,3
dataset\1\C1_430.jpg,1
dataset\2\C2_2375.jpg,2
dataset\2\C2_44.jpg,2
dataset\3\C3_2044.jpg,3
dataset\2\C2_2650.jpg,2
dataset\0\C0_396.jpg,0
dataset\2\C2_1108.jpg,2
dataset\1\C1_2333.jpg,1
dataset\2\C2_2176.jpg,2
dataset\2\C2_1206.jpg,2
dataset\3\C3_2265.jpg,3
dataset\3\C3_89.jpg,3
dataset\1\C1_2428.jpg,1
dataset\2\C2_596.jpg,2
dataset\2\C2_1082.jpg,2
dataset\1\C1_2124.jpg,1
dataset\0\C0_721.jpg,0
dataset\0\C0_2172.jpg,0
dataset\1\C1_1418.jpg,1
dataset\0\C0_2010.jpg,0
dataset\2\C2_319.jpg,2
dataset\2\C2_287.jpg,2
dataset\0\C0_681.jpg,0
dataset\1\C1_2020.jpg,1
dataset\1\C1_464.jpg,1
dataset\3\C3_1183.jpg,3
dataset\3\C3_2216.jpg,3
dataset\3\C3_730.jpg,3
dataset\2\C2_2314.jpg,2
dataset\2\C2_2598.jpg,2
dataset\0\C0_921.jpg,0
dataset\1\C1_256.jpg,1
dataset\3\C3_425.jpg,3
dataset\0\C0_1261.jpg,0
dataset\1\C1_1378.jpg,1
dataset\0\C0_2061.jpg,0
dataset\2\C2_601.jpg,2
dataset\3\C3_2526.jpg,3
dataset\2\C2_2007.jpg,2
dataset\1\C1_765.jpg,1
dataset\3\C3_2430.jpg,3
dataset\3\C3_2335.jpg,3
dataset\2\C2_689.jpg,2
dataset\1\C1_42.jpg,1
dataset\0\C0_437.jpg,0
dataset\0\C0_2830.jpg,0
dataset\0\C0_373.jpg,0
dataset\2\C2_2648.jpg,2
dataset\2\C2_27.jpg,2
dataset\1\C1_2536.jpg,1
dataset\2\C2_552.jpg,2
dataset\0\C0_2590.jpg,0
dataset\3\C3_2144.jpg,3
dataset\1\C1_977.jpg,1
dataset\0\C0_1930.jpg,0
dataset\3\C3_962.jpg,3
dataset\0\C0_2684.jpg,0
dataset\2\C2_1245.jpg,2
dataset\1\C1_2672.jpg,1
dataset\1\C1_1458.jpg,1
dataset\0\C0_386.jpg,0
dataset\3\C3_1235.jpg,3
dataset\3\C3_1587.jpg,3
dataset\1\C1_1153.jpg,1
dataset\0\C0_274.jpg,0
dataset\1\C1_1412.jpg,1
dataset\3\C3_556.jpg,3
dataset\1\C1_1884.jpg,1
dataset\1\C1_1248.jpg,1
dataset\3\C3_2123.jpg,3
dataset\3\C3_1022.jpg,3
dataset\0\C0_2285.jpg,0
dataset\0\C0_1144.jpg,0
dataset\1\C1_2633.jpg,1
dataset\3\C3_885.jpg,3
dataset\0\C0_2309.jpg,0
dataset\1\C1_2521.jpg,1
dataset\0\C0_1829.jpg,0
dataset\2\C2_2546.jpg,2
dataset\0\C0_2221.jpg,0
dataset\0\C0_2481.jpg,0
dataset\2\C2_2496.jpg,2
dataset\1\C1_19.jpg,1
dataset\1\C1_2965.jpg,1
dataset\2\C2_421.jpg,2
dataset\3\C3_2153.jpg,3
dataset\1\C1_669.jpg,1
dataset\3\C3_160.jpg,3
dataset\0\C0_2709.jpg,0
dataset\0\C0_2812.jpg,0
dataset\3\C3_1212.jpg,3
dataset\2\C2_2479.jpg,2
dataset\3\C3_1245.jpg,3
dataset\3\C3_697.jpg,3
dataset\1\C1_1925.jpg,1
dataset\0\C0_2337.jpg,0
dataset\2\C2_2347.jpg,2
dataset\3\C3_478.jpg,3
dataset\2\C2_873.jpg,2
dataset\2\C2_1835.jpg,2
dataset\3\C3_45.jpg,3
dataset\2\C2_1611.jpg,2
dataset\2\C2_2442.jpg,2
dataset\1\C1_2504.jpg,1
dataset\3\C3_2275.jpg,3
dataset\2\C2_2458.jpg,2
dataset\2\C2_1985.jpg,2
dataset\1\C1_860.jpg,1
dataset\0\C0_407.jpg,0
dataset\3\C3_172.jpg,3
dataset\0\C0_322.jpg,0
dataset\3\C3_968.jpg,3
dataset\1\C1_2524.jpg,1
dataset\2\C2_1237.jpg,2
dataset\2\C2_2530.jpg,2
dataset\3\C3_1987.jpg,3
dataset\2\C2_2535.jpg,2
dataset\1\C1_2025.jpg,1
dataset\0\C0_1662.jpg,0
dataset\1\C1_1005.jpg,1
dataset\3\C3_1101.jpg,3
dataset\0\C0_481.jpg,0
dataset\1\C1_1302.jpg,1
dataset\0\C0_432.jpg,0
dataset\1\C1_333.jpg,1
dataset\0\C0_2627.jpg,0
dataset\1\C1_889.jpg,1
dataset\2\C2_1736.jpg,2
dataset\0\C0_2669.jpg,0
dataset\2\C2_194.jpg,2
dataset\0\C0_1344.jpg,0
dataset\1\C1_1515.jpg,1
dataset\1\C1_1911.jpg,1
dataset\1\C1_2736.jpg,1
dataset\3\C3_2173.jpg,3
dataset\1\C1_1037.jpg,1
dataset\0\C0_231.jpg,0
dataset\0\C0_2255.jpg,0
dataset\2\C2_391.jpg,2
dataset\0\C0_2222.jpg,0
dataset\3\C3_180.jpg,3
dataset\1\C1_1896.jpg,1
dataset\1\C1_1276.jpg,1
dataset\1\C1_1905.jpg,1
dataset\2\C2_1501.jpg,2
dataset\0\C0_1916.jpg,0
dataset\0\C0_1361.jpg,0
dataset\1\C1_3095.jpg,1
dataset\2\C2_986.jpg,2
dataset\1\C1_1529.jpg,1
dataset\0\C0_2531.jpg,0
dataset\1\C1_1878.jpg,1
dataset\2\C2_1074.jpg,2
dataset\1\C1_1728.jpg,1
dataset\0\C0_1639.jpg,0
dataset\2\C2_293.jpg,2
dataset\2\C2_2449.jpg,2
dataset\2\C2_2577.jpg,2
dataset\1\C1_1654.jpg,1
dataset\2\C2_1174.jpg,2
dataset\3\C3_1573.jpg,3
dataset\3\C3_1064.jpg,3
dataset\0\C0_2282.jpg,0
dataset\0\C0_1450.jpg,0
dataset\1\C1_1045.jpg,1
dataset\2\C2_2019.jpg,2
dataset\1\C1_2440.jpg,1
dataset\0\C0_470.jpg,0
dataset\2\C2_1280.jpg,2
dataset\1\C1_1993.jpg,1
dataset\0\C0_2471.jpg,0
dataset\1\C1_3061.jpg,1
dataset\3\C3_514.jpg,3
dataset\2\C2_1529.jpg,2
dataset\0\C0_2489.jpg,0
dataset\1\C1_609.jpg,1
dataset\3\C3_1770.jpg,3
dataset\0\C0_2442.jpg,0
dataset\0\C0_2798.jpg,0
dataset\0\C0_2801.jpg,0
dataset\3\C3_2327.jpg,3
dataset\2\C2_537.jpg,2
dataset\0\C0_1898.jpg,0
dataset\2\C2_2376.jpg,2
dataset\1\C1_2855.jpg,1
dataset\3\C3_1393.jpg,3
dataset\1\C1_2244.jpg,1
dataset\0\C0_2473.jpg,0
dataset\3\C3_402.jpg,3
dataset\0\C0_1591.jpg,0
dataset\1\C1_503.jpg,1
dataset\2\C2_1815.jpg,2
dataset\0\C0_468.jpg,0
dataset\3\C3_1379.jpg,3
dataset\3\C3_337.jpg,3
dataset\3\C3_791.jpg,3
dataset\1\C1_2305.jpg,1
dataset\1\C1_2133.jpg,1
dataset\2\C2_1145.jpg,2
dataset\3\C3_896.jpg,3
dataset\2\C2_2402.jpg,2
dataset\2\C2_1104.jpg,2
dataset\3\C3_630.jpg,3
dataset\1\C1_2548.jpg,1
dataset\2\C2_1833.jpg,2
dataset\3\C3_2515.jpg,3
dataset\0\C0_2866.jpg,0
dataset\3\C3_2210.jpg,3
dataset\0\C0_2610.jpg,0
dataset\2\C2_1853.jpg,2
dataset\0\C0_2689.jpg,0
dataset\1\C1_2988.jpg,1
dataset\3\C3_484.jpg,3
dataset\2\C2_1255.jpg,2
dataset\2\C2_441.jpg,2
dataset\2\C2_1510.jpg,2
dataset\2\C2_1497.jpg,2
dataset\0\C0_395.jpg,0
dataset\0\C0_2799.jpg,0
dataset\1\C1_2076.jpg,1
dataset\1\C1_587.jpg,1
dataset\2\C2_800.jpg,2
dataset\0\C0_594.jpg,0
dataset\2\C2_2174.jpg,2
dataset\0\C0_710.jpg,0
dataset\1\C1_135.jpg,1
dataset\2\C2_383.jpg,2
dataset\3\C3_1339.jpg,3
dataset\0\C0_911.jpg,0
dataset\1\C1_11.jpg,1
dataset\2\C2_172.jpg,2
dataset\1\C1_2484.jpg,1
dataset\0\C0_2693.jpg,0
dataset\0\C0_2342.jpg,0
dataset\1\C1_1661.jpg,1
dataset\3\C3_11.jpg,3
dataset\3\C3_776.jpg,3
dataset\1\C1_293.jpg,1
dataset\0\C0_1383.jpg,0
dataset\1\C1_710.jpg,1
dataset\2\C2_159.jpg,2
dataset\1\C1_1177.jpg,1
dataset\0\C0_863.jpg,0
dataset\1\C1_402.jpg,1
dataset\1\C1_2507.jpg,1
dataset\0\C0_1306.jpg,0
dataset\1\C1_1591.jpg,1
dataset\1\C1_3093.jpg,1
dataset\1\C1_1152.jpg,1
dataset\3\C3_915.jpg,3
dataset\2\C2_1637.jpg,2
dataset\2\C2_1249.jpg,2
dataset\2\C2_1449.jpg,2
dataset\3\C3_1623.jpg,3
dataset\0\C0_2137.jpg,0
dataset\1\C1_1723.jpg,1
dataset\1\C1_2341.jpg,1
dataset\1\C1_3048.jpg,1
dataset\2\C2_1567.jpg,2
dataset\1\C1_244.jpg,1
dataset\3\C3_372.jpg,3
dataset\3\C3_1652.jpg,3
dataset\1\C1_2432.jpg,1
dataset\0\C0_985.jpg,0
dataset\3\C3_702.jpg,3
dataset\2\C2_1741.jpg,2
dataset\0\C0_2125.jpg,0
dataset\0\C0_1690.jpg,0
dataset\2\C2_2608.jpg,2
dataset\2\C2_270.jpg,2
dataset\0\C0_1324.jpg,0
dataset\2\C2_126.jpg,2
dataset\0\C0_1347.jpg,0
dataset\2\C2_1438.jpg,2
dataset\1\C1_2670.jpg,1
dataset\1\C1_1381.jpg,1
dataset\3\C3_2541.jpg,3
dataset\3\C3_990.jpg,3
dataset\0\C0_502.jpg,0
dataset\1\C1_319.jpg,1
dataset\3\C3_561.jpg,3
dataset\2\C2_1716.jpg,2
dataset\1\C1_781.jpg,1
dataset\1\C1_538.jpg,1
dataset\3\C3_1670.jpg,3
dataset\0\C0_139.jpg,0
dataset\1\C1_1279.jpg,1
dataset\0\C0_739.jpg,0
dataset\1\C1_3077.jpg,1
dataset\1\C1_2838.jpg,1
dataset\2\C2_1859.jpg,2
dataset\3\C3_1390.jpg,3
dataset\1\C1_1128.jpg,1
dataset\0\C0_2297.jpg,0
dataset\2\C2_1390.jpg,2
dataset\1\C1_1817.jpg,1
dataset\1\C1_2777.jpg,1
dataset\3\C3_1661.jpg,3
dataset\3\C3_1875.jpg,3
dataset\3\C3_49.jpg,3
dataset\0\C0_2409.jpg,0
dataset\2\C2_2175.jpg,2
dataset\1\C1_2168.jpg,1
dataset\1\C1_132.jpg,1
dataset\3\C3_1155.jpg,3
dataset\3\C3_2455.jpg,3
dataset\0\C0_1886.jpg,0
dataset\2\C2_1198.jpg,2
dataset\0\C0_1660.jpg,0
dataset\1\C1_1845.jpg,1
dataset\0\C0_2374.jpg,0
dataset\2\C2_1622.jpg,2
dataset\2\C2_1990.jpg,2
dataset\2\C2_2384.jpg,2
dataset\2\C2_961.jpg,2
dataset\0\C0_2638.jpg,0
dataset\0\C0_2428.jpg,0
dataset\1\C1_2976.jpg,1
dataset\2\C2_1983.jpg,2
dataset\2\C2_2257.jpg,2
dataset\0\C0_2790.jpg,0
dataset\3\C3_2359.jpg,3
dataset\3\C3_265.jpg,3
dataset\1\C1_1466.jpg,1
dataset\3\C3_1359.jpg,3
dataset\3\C3_355.jpg,3
dataset\2\C2_1191.jpg,2
dataset\1\C1_793.jpg,1
dataset\0\C0_943.jpg,0
dataset\3\C3_174.jpg,3
dataset\0\C0_1471.jpg,0
dataset\2\C2_2601.jpg,2
dataset\3\C3_440.jpg,3
dataset\2\C2_2634.jpg,2
dataset\2\C2_2221.jpg,2
dataset\0\C0_2556.jpg,0
dataset\0\C0_1314.jpg,0
dataset\3\C3_1757.jpg,3
dataset\0\C0_2614.jpg,0
dataset\3\C3_1177.jpg,3
dataset\1\C1_2543.jpg,1
dataset\0\C0_1252.jpg,0
dataset\0\C0_2004.jpg,0
dataset\2\C2_2504.jpg,2
dataset\3\C3_994.jpg,3
dataset\3\C3_1579.jpg,3
dataset\1\C1_2879.jpg,1
dataset\3\C3_616.jpg,3
dataset\2\C2_1578.jpg,2
dataset\2\C2_2388.jpg,2
dataset\1\C1_1161.jpg,1
dataset\0\C0_555.jpg,0
dataset\2\C2_543.jpg,2
dataset\1\C1_666.jpg,1
dataset\0\C0_250.jpg,0
dataset\1\C1_3022.jpg,1
dataset\3\C3_438.jpg,3
dataset\1\C1_1742.jpg,1
dataset\1\C1_1467.jpg,1
dataset\0\C0_0.jpg,0
dataset\3\C3_2279.jpg,3
dataset\2\C2_2108.jpg,2
dataset\0\C0_1731.jpg,0
dataset\1\C1_1829.jpg,1
dataset\2\C2_2656.jpg,2
dataset\1\C1_343.jpg,1
dataset\1\C1_1286.jpg,1
dataset\0\C0_2228.jpg,0
dataset\3\C3_272.jpg,3
dataset\1\C1_836.jpg,1
dataset\1\C1_2863.jpg,1
dataset\3\C3_432.jpg,3
dataset\3\C3_617.jpg,3
dataset\0\C0_1839.jpg,0
dataset\2\C2_984.jpg,2
dataset\1\C1_125.jpg,1
dataset\1\C1_2415.jpg,1
dataset\0\C0_2031.jpg,0
dataset\0\C0_821.jpg,0
dataset\0\C0_1360.jpg,0
dataset\2\C2_10.jpg,2
dataset\3\C3_1929.jpg,3
dataset\2\C2_1935.jpg,2
dataset\2\C2_2456.jpg,2
dataset\1\C1_267.jpg,1
dataset\1\C1_2270.jpg,1
dataset\1\C1_1327.jpg,1
dataset\3\C3_1921.jpg,3
dataset\1\C1_272.jpg,1
dataset\1\C1_3036.jpg,1
dataset\0\C0_262.jpg,0
dataset\1\C1_2040.jpg,1
dataset\1\C1_1666.jpg,1
dataset\2\C2_1956.jpg,2
dataset\1\C1_2694.jpg,1
dataset\0\C0_316.jpg,0
dataset\0\C0_2191.jpg,0
dataset\1\C1_510.jpg,1
dataset\2\C2_816.jpg,2
dataset\0\C0_1292.jpg,0
dataset\0\C0_2386.jpg,0
dataset\3\C3_1373.jpg,3
dataset\1\C1_1265.jpg,1
dataset\0\C0_1518.jpg,0
dataset\1\C1_2448.jpg,1
dataset\3\C3_2151.jpg,3
dataset\2\C2_1345.jpg,2
dataset\2\C2_2441.jpg,2
dataset\3\C3_914.jpg,3
dataset\1\C1_1651.jpg,1
dataset\0\C0_1286.jpg,0
dataset\1\C1_1093.jpg,1
dataset\3\C3_698.jpg,3
dataset\1\C1_1047.jpg,1
dataset\1\C1_1919.jpg,1
dataset\1\C1_507.jpg,1
dataset\0\C0_2808.jpg,0
dataset\2\C2_741.jpg,2
dataset\0\C0_2788.jpg,0
dataset\3\C3_1868.jpg,3
dataset\1\C1_2739.jpg,1
dataset\2\C2_196.jpg,2
dataset\2\C2_1830.jpg,2
dataset\2\C2_1341.jpg,2
dataset\3\C3_1809.jpg,3
dataset\1\C1_852.jpg,1
dataset\2\C2_910.jpg,2
dataset\2\C2_2058.jpg,2
dataset\0\C0_1735.jpg,0
dataset\1\C1_1768.jpg,1
dataset\3\C3_590.jpg,3
dataset\3\C3_1695.jpg,3
dataset\0\C0_2743.jpg,0
dataset\0\C0_2796.jpg,0
dataset\2\C2_2189.jpg,2
dataset\2\C2_2117.jpg,2
dataset\3\C3_745.jpg,3
dataset\1\C1_2540.jpg,1
dataset\3\C3_1567.jpg,3
dataset\2\C2_1381.jpg,2
dataset\2\C2_723.jpg,2
dataset\0\C0_1906.jpg,0
dataset\2\C2_1176.jpg,2
dataset\0\C0_1147.jpg,0
dataset\1\C1_1545.jpg,1
dataset\2\C2_822.jpg,2
dataset\2\C2_2502.jpg,2
dataset\3\C3_1785.jpg,3
dataset\1\C1_3014.jpg,1
dataset\3\C3_760.jpg,3
dataset\1\C1_1794.jpg,1
dataset\2\C2_858.jpg,2
dataset\2\C2_565.jpg,2
dataset\0\C0_2660.jpg,0
dataset\3\C3_2174.jpg,3
dataset\3\C3_1226.jpg,3
dataset\0\C0_84.jpg,0
dataset\3\C3_1460.jpg,3
dataset\2\C2_1483.jpg,2
dataset\1\C1_3000.jpg,1
dataset\1\C1_76.jpg,1
dataset\1\C1_2465.jpg,1
dataset\1\C1_2431.jpg,1
dataset\3\C3_1102.jpg,3
dataset\1\C1_2593.jpg,1
dataset\1\C1_97.jpg,1
dataset\2\C2_490.jpg,2
dataset\0\C0_829.jpg,0
dataset\1\C1_1401.jpg,1
dataset\0\C0_2405.jpg,0
dataset\3\C3_2106.jpg,3
dataset\0\C0_2174.jpg,0
dataset\0\C0_625.jpg,0
dataset\1\C1_150.jpg,1
dataset\0\C0_2092.jpg,0
dataset\3\C3_1170.jpg,3
dataset\2\C2_2013.jpg,2
dataset\3\C3_1452.jpg,3
dataset\0\C0_1761.jpg,0
dataset\0\C0_1346.jpg,0
dataset\3\C3_405.jpg,3
dataset\3\C3_772.jpg,3
dataset\2\C2_673.jpg,2
dataset\0\C0_1726.jpg,0
dataset\3\C3_261.jpg,3
dataset\0\C0_543.jpg,0
dataset\0\C0_1732.jpg,0
dataset\3\C3_152.jpg,3
dataset\0\C0_2459.jpg,0
dataset\3\C3_1913.jpg,3
dataset\0\C0_787.jpg,0
dataset\2\C2_2534.jpg,2
dataset\2\C2_1386.jpg,2
dataset\2\C2_2370.jpg,2
dataset\2\C2_131.jpg,2
dataset\1\C1_2088.jpg,1
dataset\3\C3_1960.jpg,3
dataset\3\C3_2103.jpg,3
dataset\1\C1_1120.jpg,1
dataset\3\C3_886.jpg,3
dataset\3\C3_1683.jpg,3
dataset\2\C2_1598.jpg,2
dataset\0\C0_138.jpg,0
dataset\3\C3_1267.jpg,3
dataset\1\C1_1526.jpg,1
dataset\2\C2_2278.jpg,2
dataset\0\C0_1463.jpg,0
dataset\0\C0_1376.jpg,0
dataset\3\C3_979.jpg,3
dataset\2\C2_1166.jpg,2
dataset\3\C3_1778.jpg,3
dataset\1\C1_2657.jpg,1
dataset\3\C3_140.jpg,3
dataset\0\C0_1397.jpg,0
dataset\2\C2_1281.jpg,2
dataset\1\C1_2129.jpg,1
dataset\2\C2_2256.jpg,2
dataset\1\C1_2518.jpg,1
dataset\0\C0_1108.jpg,0
dataset\1\C1_1981.jpg,1
dataset\3\C3_822.jpg,3
dataset\3\C3_916.jpg,3
dataset\0\C0_2139.jpg,0
dataset\1\C1_2231.jpg,1
dataset\1\C1_2021.jpg,1
dataset\3\C3_2097.jpg,3
dataset\1\C1_2936.jpg,1
dataset\2\C2_948.jpg,2
dataset\2\C2_937.jpg,2
dataset\1\C1_1653.jpg,1
dataset\2\C2_941.jpg,2
dataset\1\C1_2513.jpg,1
dataset\2\C2_516.jpg,2
dataset\3\C3_1461.jpg,3
dataset\3\C3_2236.jpg,3
dataset\2\C2_2224.jpg,2
dataset\0\C0_1749.jpg,0
dataset\1\C1_220.jpg,1
dataset\0\C0_2399.jpg,0
dataset\2\C2_2312.jpg,2
dataset\1\C1_3067.jpg,1
dataset\3\C3_983.jpg,3
dataset\3\C3_1292.jpg,3
dataset\2\C2_517.jpg,2
dataset\1\C1_367.jpg,1
dataset\0\C0_1445.jpg,0
dataset\0\C0_832.jpg,0
dataset\0\C0_2613.jpg,0
dataset\2\C2_314.jpg,2
dataset\2\C2_1573.jpg,2
dataset\2\C2_1371.jpg,2
dataset\1\C1_443.jpg,1
dataset\0\C0_2397.jpg,0
dataset\3\C3_333.jpg,3
dataset\2\C2_683.jpg,2
dataset\3\C3_1295.jpg,3
dataset\1\C1_0.jpg,1
dataset\3\C3_135.jpg,3
dataset\2\C2_838.jpg,2
dataset\2\C2_375.jpg,2
dataset\3\C3_2381.jpg,3
dataset\2\C2_494.jpg,2
dataset\2\C2_1519.jpg,2
dataset\2\C2_764.jpg,2
dataset\2\C2_2028.jpg,2
dataset\0\C0_1227.jpg,0
dataset\3\C3_1032.jpg,3
dataset\0\C0_512.jpg,0
dataset\0\C0_1936.jpg,0
dataset\3\C3_72.jpg,3
dataset\2\C2_1944.jpg,2
dataset\1\C1_2118.jpg,1
dataset\3\C3_2464.jpg,3
dataset\1\C1_1572.jpg,1
dataset\1\C1_1957.jpg,1
dataset\3\C3_1277.jpg,3
dataset\3\C3_181.jpg,3
dataset\3\C3_1087.jpg,3
dataset\0\C0_164.jpg,0
dataset\3\C3_967.jpg,3
dataset\1\C1_1496.jpg,1
dataset\3\C3_1561.jpg,3
dataset\2\C2_902.jpg,2
dataset\1\C1_2282.jpg,1
dataset\1\C1_759.jpg,1
dataset\2\C2_2420.jpg,2
dataset\3\C3_1279.jpg,3
dataset\3\C3_1033.jpg,3
dataset\0\C0_814.jpg,0
dataset\1\C1_1855.jpg,1
dataset\0\C0_1990.jpg,0
dataset\0\C0_1816.jpg,0
dataset\2\C2_1088.jpg,2
dataset\0\C0_1365.jpg,0
dataset\2\C2_1447.jpg,2
dataset\3\C3_1334.jpg,3
dataset\2\C2_2142.jpg,2
dataset\3\C3_748.jpg,3
dataset\2\C2_617.jpg,2
dataset\1\C1_558.jpg,1
dataset\3\C3_1949.jpg,3
dataset\3\C3_1894.jpg,3
dataset\1\C1_2549.jpg,1
dataset\1\C1_1871.jpg,1
dataset\0\C0_1313.jpg,0
dataset\2\C2_2212.jpg,2
dataset\2\C2_1507.jpg,2
dataset\2\C2_1157.jpg,2
dataset\0\C0_219.jpg,0
dataset\1\C1_1487.jpg,1
dataset\3\C3_895.jpg,3
dataset\0\C0_853.jpg,0
dataset\0\C0_1272.jpg,0
dataset\3\C3_248.jpg,3
dataset\3\C3_2365.jpg,3
dataset\3\C3_2071.jpg,3
dataset\1\C1_1600.jpg,1
dataset\2\C2_2423.jpg,2
dataset\0\C0_1796.jpg,0
dataset\0\C0_2289.jpg,0
dataset\2\C2_1360.jpg,2
dataset\0\C0_1367.jpg,0
dataset\0\C0_360.jpg,0
dataset\1\C1_2503.jpg,1
dataset\3\C3_930.jpg,3
dataset\3\C3_2469.jpg,3
dataset\2\C2_908.jpg,2
dataset\1\C1_1633.jpg,1
dataset\1\C1_2277.jpg,1
dataset\2\C2_1422.jpg,2
dataset\1\C1_1304.jpg,1
dataset\3\C3_306.jpg,3
dataset\0\C0_38.jpg,0
dataset\1\C1_8.jpg,1
